Data;Nível (m);Volume (hm³);Volume (%);Q Jusante (m³/s);Q Natural (m³/s);Chuva (mm)
21/02/2023;640,04;89,2755568;100,5114522;30,84;55,17834729;1,6
20/02/2023;639,89;87,57815819;98,60042523;26,68;66,02598541;0,2
19/02/2023;639,62;84,56454732;95,20753231;24,58;37,02971552;15
18/02/2023;639,55;83,79185091;94,33758715;24,21;29,98027655;6,8
17/02/2023;639,54;83,68175169;94,21363124;22,83;29,37925911;0,4
16/02/2023;639,52;83,46176699;93,96596008;24,46;26,17515089;0,4
15/02/2023;639,54;83,68175169;94,21363124;24,32;30,25174159;0,8
14/02/2023;639,53;83,57172374;94,08975558;24,33;36,25295366;2,2
13/02/2023;639,47;82,9130487;93,34818211;23,32;33,54635172;26,2
12/02/2023;639,42;82,3660994;92,73239577;24,58;26,65851743;7,4
11/02/2023;639,44;82,58466743;92,97847197;24,48;26,64427174;29,6
10/02/2023;639,46;82,80351762;93,22486584;24,48;24,13079918;35,2
09/02/2023;639,5;83,24206681;93,71860923;24,45;23,77343469;0,4
08/02/2023;639,54;83,68175169;94,21363124;22,36;30,4173734;3,6
07/02/2023;639,51;83,35188138;93,84224466;25,58;21,27959229;0,2
06/02/2023;639,58;84,12257695;94,70993716;25,61;22,25596627;0,6
05/02/2023;639,64;84,78596339;95,45681499;25,57;22,04785198;0,2
04/02/2023;639,7;85,45194219;96,20661146;25,61;24,88283475;6,8
03/02/2023;639,74;85,89737612;96,70810607;25,64;25,11040316;1,2
02/02/2023;639,78;86,34397399;97,21091112;25,67;30,25943;0,4
01/02/2023;639,78;86,34397399;97,21091112;25,75;27,59082273;7,8
31/01/2023;639,8;86,56771087;97,46280671;23,46;29,11824676;4,4
30/01/2023;639,79;86,45580587;97,33681775;22,98;33,32526735;36,8
29/01/2023;639,74;85,89737612;96,70810607;22,52;22,15413316;0,6
28/01/2023;639,78;86,34397399;97,21091112;24,84;22,73160651;0
27/01/2023;639,83;86,9038653;97,8412683;21,95;22,48090698;0
26/01/2023;639,86;87,24068041;98,22047373;23,92;24,34921718;0
25/01/2023;639,89;87,57815819;98,60042523;24,52;30,34697123;0,6
24/01/2023;639,88;87,46559184;98,47369169;25,73;35,27750438;16,2
23/01/2023;639,84;87,01606349;97,96758735;29,9;28,73730562;0
22/01/2023;639,88;87,46559184;98,47369169;27,35;35,86967366;0
